ts-morph,templates
23.365ms,1.475ms
9.350ms,0.709ms
8.169ms,0.698ms
8.809ms,0.605ms
44.181ms,2.562ms
13.863ms,1.101ms
10.271ms,0.757ms
10.469ms,0.702ms
5.992ms,0.541ms
8.030ms,0.754ms
7.460ms,0.684ms
5.238ms,0.476ms
8.923ms,0.696ms
10.992ms,0.722ms
10.455ms,0.917ms
36.372ms,4.941ms
5.064ms,0.587ms
13.047ms,1.015ms
19.217ms,1.168ms
50.209ms,4.212ms
14.220ms,0.933ms
16.671ms,1.735ms
9.010ms,0.937ms
6.920ms,0.654ms
12.537ms,1.164ms
14.963ms,1.783ms
11.115ms,3.130ms
9.391ms,2.290ms
12.331ms,0.843ms
56.734ms,3.542ms
6.510ms,0.996ms
9.854ms,1.037ms
13.878ms,1.399ms
9.882ms,1.203ms
104.761ms,9.204ms
10.752ms,1.260ms
9.005ms,0.891ms
7.919ms,1.179ms
6.624ms,0.935ms
6.854ms,1.190ms
5.904ms,0.785ms
8.845ms,1.045ms
6.351ms,1.044ms
5.489ms,1.055ms
5.372ms,1.104ms
6.574ms,0.849ms
6.327ms,1.107ms
5.943ms,0.911ms
9.526ms,0.865ms
8.215ms,7.007ms
5.833ms,3.015ms
11.182ms,1.148ms
6.849ms,0.978ms
5.150ms,0.814ms
7.453ms,0.917ms
8.121ms,0.716ms
8.318ms,0.594ms
7.542ms,0.533ms
7.908ms,0.565ms
11.523ms,0.823ms
11.753ms,0.596ms
5.674ms,0.761ms
6.059ms,0.637ms
9.118ms,1.011ms
6.184ms,0.626ms
6.185ms,0.532ms
5.784ms,0.615ms
8.774ms,0.593ms
8.995ms,0.893ms
6.390ms,0.614ms
5.289ms,0.539ms
9.023ms,0.815ms
9.106ms,0.563ms
5.598ms,0.544ms
5.884ms,0.546ms
6.475ms,0.540ms
7.054ms,0.590ms
7.200ms,0.557ms
15.144ms,1.667ms
9.091ms,0.799ms
7.205ms,0.643ms
5.363ms,0.565ms
4.853ms,0.653ms
6.246ms,0.863ms
12.377ms,0.860ms
6.446ms,0.606ms
5.710ms,0.550ms
15.883ms,1.180ms
16.859ms,1.110ms
