ts-morph,templates
5.100ms,0.732ms
4.289ms,0.490ms
9.033ms,0.698ms
4.905ms,0.754ms
4.378ms,0.693ms
4.116ms,0.769ms
4.482ms,0.851ms
4.924ms,0.815ms
4.660ms,0.784ms
4.427ms,0.777ms
5.396ms,0.733ms
9.394ms,0.570ms
4.890ms,0.812ms
4.371ms,0.479ms
4.638ms,0.682ms
4.469ms,0.452ms
4.746ms,0.776ms
4.931ms,0.760ms
4.520ms,0.813ms
6.675ms,1.527ms
9.035ms,1.308ms
5.506ms,0.820ms
4.452ms,0.811ms
5.106ms,0.980ms
5.136ms,0.555ms
5.865ms,0.779ms
4.901ms,0.740ms
5.538ms,0.529ms
5.561ms,0.803ms
8.775ms,0.728ms
6.049ms,1.015ms
4.746ms,0.499ms
4.283ms,0.722ms
4.036ms,0.439ms
4.925ms,0.690ms
4.700ms,0.454ms
5.595ms,0.708ms
6.086ms,1.684ms
11.038ms,0.723ms
6.518ms,0.707ms
7.932ms,0.533ms
10.720ms,0.501ms
5.173ms,0.737ms
4.206ms,0.753ms
6.375ms,1.013ms
5.601ms,1.895ms
4.406ms,3.602ms
5.050ms,0.804ms
10.557ms,2.182ms
4.437ms,0.487ms
4.844ms,0.661ms
4.623ms,0.777ms
4.726ms,0.666ms
4.268ms,0.497ms
4.440ms,0.668ms
5.963ms,0.565ms
5.739ms,0.506ms
9.466ms,0.690ms
5.431ms,0.467ms
5.929ms,0.520ms
4.225ms,0.787ms
4.461ms,0.498ms
4.557ms,0.696ms
4.467ms,0.714ms
4.247ms,0.718ms
4.450ms,0.763ms
8.718ms,3.369ms
4.987ms,1.310ms
4.475ms,0.514ms
4.452ms,0.755ms
4.145ms,0.613ms
4.208ms,0.708ms
4.892ms,0.759ms
5.233ms,0.712ms
4.692ms,0.517ms
11.028ms,0.762ms
7.696ms,1.843ms
9.567ms,0.511ms
4.737ms,0.430ms
4.757ms,0.418ms
5.034ms,0.424ms
4.236ms,0.403ms
4.527ms,3.079ms
4.121ms,1.604ms
10.080ms,0.917ms
317.863ms,10.578ms
13.398ms,0.966ms
33.167ms,1.579ms
12.620ms,0.896ms
13.656ms,0.614ms
18.588ms,1.005ms
22.649ms,0.653ms
11.303ms,1.000ms
23.044ms,1.291ms
7.536ms,0.585ms
24.419ms,1.222ms
7.124ms,0.731ms
8.643ms,0.774ms
8.597ms,0.692ms
8.861ms,0.854ms
10.033ms,0.686ms
27.000ms,1.093ms
13.590ms,1.176ms
4.830ms,0.554ms
9.339ms,0.750ms
8.743ms,0.832ms
30.503ms,4.298ms
29.587ms,2.346ms
6.316ms,0.743ms
4.647ms,0.725ms
6.551ms,0.737ms
15.780ms,1.628ms
44.317ms,1.279ms
48.048ms,1.103ms
20.444ms,1.279ms
6.977ms,0.848ms
7.963ms,0.781ms
13.978ms,0.958ms
7.852ms,0.586ms
23.974ms,1.189ms
21.497ms,1.297ms
21.540ms,0.836ms
9.743ms,0.687ms
12.925ms,0.619ms
15.274ms,0.739ms
20.359ms,0.747ms
27.815ms,0.783ms
27.525ms,1.127ms
28.284ms,0.848ms
16.187ms,0.596ms
15.879ms,0.899ms
15.218ms,1.031ms
16.178ms,0.684ms
61.947ms,1.209ms
12.787ms,0.871ms
7.005ms,0.881ms
10.986ms,0.779ms
14.051ms,0.589ms
